,line_id,line_leading_fsize,line_max_fsize,line_is_same_fsize,line_is_same_fsize_with_prev,line_is_same_fsize_with_next,line_is_same_font,line_is_same_color,line_num_spans,line_left_margin,line_right_margin,line_top_margin,line_down_margin,line_is_most_left,line_is_most_right,line_is_align_with_prev,line_is_align_with_next,line_max_width,line_max_interspace,line_average_width,line_average_interspace,line_num_tokens,line_is_startswith_chinese,line_have_time_range,prev_line_id,prev_line_leading_fsize,prev_line_max_fsize,prev_line_is_same_fsize,prev_line_is_same_fsize_with_prev,prev_line_is_same_fsize_with_next,prev_line_is_same_font,prev_line_is_same_color,prev_line_num_spans,prev_line_left_margin,prev_line_right_margin,prev_line_top_margin,prev_line_down_margin,prev_line_is_most_left,prev_line_is_most_right,prev_line_is_align_with_prev,prev_line_is_align_with_next,prev_line_max_width,prev_line_max_interspace,prev_line_average_width,prev_line_average_interspace,prev_line_num_tokens,prev_line_is_startswith_chinese,prev_line_have_time_range,next_line_id,next_line_leading_fsize,next_line_max_fsize,next_line_is_same_fsize,next_line_is_same_fsize_with_prev,next_line_is_same_fsize_with_next,next_line_is_same_font,next_line_is_same_color,next_line_num_spans,next_line_left_margin,next_line_right_margin,next_line_top_margin,next_line_down_margin,next_line_is_most_left,next_line_is_most_right,next_line_is_align_with_prev,next_line_is_align_with_next,next_line_max_width,next_line_max_interspace,next_line_average_width,next_line_average_interspace,next_line_num_tokens,next_line_is_startswith_chinese,next_line_have_time_range,span_font,span_is_bold,span_color,span_normalized_fsize,span_id,span_width,span_left,span_right,span_is_most_left,span_is_most_right,span_left_margin,span_right_margin,span_is_align_with_prev_line,span_is_align_with_next_line,span_num_tokens,span_is_startswith_chinese,span_first_token,span_first_token_tag,span_last_token,span_last_token_tag,span_leading_tag,span_text_is_time_range,prev_span_font,prev_span_is_bold,prev_span_color,prev_span_normalized_fsize,prev_span_id,prev_span_width,prev_span_left,prev_span_right,prev_span_is_most_left,prev_span_is_most_right,prev_span_left_margin,prev_span_right_margin,prev_span_is_align_with_prev_line,prev_span_is_align_with_next_line,prev_span_num_tokens,prev_span_is_startswith_chinese,prev_span_first_token,prev_span_first_token_tag,prev_span_last_token,prev_span_last_token_tag,prev_span_leading_tag,prev_span_text_is_time_range,next_span_font,next_span_is_bold,next_span_color,next_span_normalized_fsize,next_span_id,next_span_width,next_span_left,next_span_right,next_span_is_most_left,next_span_is_most_right,next_span_left_margin,next_span_right_margin,next_span_is_align_with_prev_line,next_span_is_align_with_next_line,next_span_num_tokens,next_span_is_startswith_chinese,next_span_first_token,next_span_first_token_tag,next_span_last_token,next_span_last_token_tag,next_span_leading_tag,next_span_text_is_time_range,label
132,False,0.0,0.0,True,True,True,True,True,0,107.25,86.25009155273438,127.364990234375,9.2550048828125,False,True,True,False,20.999908447265625,0.0,20.999908447265625,0.0,2,True,True,False,0.75,0.75,True,False,True,True,True,1.0,12.62109375,30.721145629882812,8.7750244140625,127.364990234375,True,True,False,True,34.39994812011719,7.499725341796875,73.01022338867188,7.499725341796875,5.0,False,False,False,0.75,0.75,True,True,False,True,True,0.0,65.12109375,23.3602294921875,9.2550048828125,9.64501953125,True,True,False,False,88.4813232421875,0.0,88.4813232421875,0.0,6.0,True,False,True,True,False,0.0,True,20.999908447265625,107.25,86.25009155273438,False,True,107.25,86.25009155273438,True,False,2,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
133,False,0.75,0.75,True,True,True,True,True,0,27.65625,167.24977111816406,137.5050048828125,0.8699951171875,False,True,True,True,139.59352111816406,0.0,139.59352111816406,0.0,12,False,False,False,0.0,0.0,True,True,True,True,True,1.0,52.5,58.08641052246094,0.0,137.5050048828125,True,True,True,True,58.08641052246094,7.499725341796875,19.47613525390625,7.499725341796875,11.0,False,True,False,0.75,0.75,True,True,True,True,True,0.0,65.12109375,49.49981689453125,0.8699951171875,10.125,True,True,True,False,114.62091064453125,0.0,114.62091064453125,0.0,10.0,False,False,False,False,False,0.5,True,139.59352111816406,27.65625,167.24977111816406,False,True,27.65625,167.24977111816406,True,True,12,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
134,False,0.0,0.0,True,True,True,True,True,0,107.25,107.25,127.364990234375,9.2550048828125,False,True,True,False,0.0,0.0,0.0,0.0,0,True,True,False,0.75,0.75,True,False,True,True,True,1.0,27.09375,20.22119140625,0.4949951171875,127.364990234375,True,True,False,True,59.37255859375,7.499725341796875,97.98283386230469,7.499725341796875,3.0,False,False,False,0.75,0.75,True,True,True,True,True,0.0,65.12109375,27.365264892578125,9.2550048828125,10.1400146484375,True,True,False,True,92.48635864257812,0.0,92.48635864257812,0.0,6.0,True,False,True,True,False,0.0,True,0.0,107.25,107.25,False,True,107.25,107.25,True,False,0,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
135,False,0.75,0.75,True,True,True,True,True,0,27.65625,146.24986267089844,137.5050048828125,0.8699951171875,False,True,True,True,118.59361267089844,0.0,118.59361267089844,0.0,10,False,False,False,0.0,0.0,True,False,True,True,True,1.0,52.5,58.08641052246094,0.47998046875,137.5050048828125,True,True,True,True,58.08641052246094,7.499725341796875,19.47613525390625,7.499725341796875,11.0,False,True,False,0.75,0.75,True,True,True,True,True,0.0,65.12109375,49.49981689453125,0.8699951171875,10.125,True,True,True,False,114.62091064453125,0.0,114.62091064453125,0.0,10.0,False,False,False,False,False,0.5,True,118.59361267089844,27.65625,146.24986267089844,False,True,27.65625,146.24986267089844,True,True,10,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
136,False,0.0,0.0,True,True,True,True,True,0,107.25,107.25,127.364990234375,9.2550048828125,False,True,True,False,0.0,0.0,0.0,0.0,0,True,True,False,0.75,0.75,True,False,True,True,True,1.0,27.09375,41.221099853515625,0.4949951171875,127.364990234375,True,True,False,True,38.372650146484375,7.499725341796875,76.98292541503906,7.499725341796875,5.0,False,False,False,0.75,0.75,True,True,True,True,True,0.0,65.12109375,27.365264892578125,9.2550048828125,10.1400146484375,True,True,False,True,92.48635864257812,0.0,92.48635864257812,0.0,6.0,True,False,True,True,False,0.0,True,0.0,107.25,107.25,False,True,107.25,107.25,True,False,0,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
137,False,0.75,0.75,True,True,True,True,True,0,27.65625,219.74952697753906,137.5050048828125,0.8699951171875,False,False,True,True,192.09327697753906,0.0,192.09327697753906,0.0,17,False,True,False,0.0,0.0,True,False,True,True,True,1.0,52.5,58.08641052246094,0.47998046875,137.5050048828125,True,True,True,True,58.08641052246094,7.499725341796875,19.47613525390625,7.499725341796875,11.0,False,True,False,0.75,0.75,True,True,True,True,True,0.0,65.12109375,49.49981689453125,0.8699951171875,5.078088760375977,True,True,True,True,114.62091064453125,0.0,114.62091064453125,0.0,10.0,False,False,False,False,False,0.5,True,192.09327697753906,27.65625,219.74952697753906,False,False,27.65625,219.74952697753906,True,True,17,False,False,False,False,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
138,False,0.0,0.0,True,True,True,True,True,0,107.25,107.25,127.364990234375,4.208093643188477,False,True,True,True,0.0,0.0,0.0,0.0,0,True,True,False,0.75,0.75,True,False,True,True,True,1.0,27.09375,32.278564453125,0.4949951171875,127.364990234375,True,False,False,True,111.872314453125,7.499725341796875,150.4825897216797,7.499725341796875,2.0,False,True,False,0.0,0.0,True,True,True,True,True,0.0,14.47265625,20.999908447265625,4.208093643188477,1.239776611328125e-05,True,True,True,True,35.472564697265625,0.0,35.472564697265625,0.0,3.0,True,True,True,True,False,0.0,True,0.0,107.25,107.25,False,True,107.25,107.25,True,True,0,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
139,False,0.75,0.75,True,True,True,True,True,0,27.65625,177.74972534179688,132.44307899475098,0.8699827194213867,False,True,True,True,150.09347534179688,0.0,150.09347534179688,0.0,13,False,False,False,1.5,1.5,True,False,True,True,True,1.0,52.5,80.22096252441406,9.64501953125,132.44307899475098,True,True,False,True,80.22096252441406,7.499725341796875,41.610687255859375,7.499725341796875,15.0,True,True,False,0.75,0.75,True,True,True,True,True,0.0,65.12109375,59.99977111816406,0.8699827194213867,10.125011444091797,True,True,True,False,125.12086486816406,0.0,125.12086486816406,0.0,11.0,False,False,False,False,False,0.5,True,150.09347534179688,27.65625,177.74972534179688,False,True,27.65625,177.74972534179688,True,True,13,False,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
140,False,0.0,0.0,True,True,True,True,True,0,107.25,96.75004577636719,127.36500263214111,9.255016326904297,False,True,True,False,10.499954223632812,0.0,10.499954223632812,0.0,1,True,True,False,0.75,0.75,True,False,True,True,True,1.0,27.09375,9.721237182617188,4.566930770874023,127.36500263214111,True,True,False,True,69.87251281738281,7.499725341796875,108.4827880859375,7.499725341796875,2.0,False,False,False,0.75,0.75,True,True,False,True,True,0.0,65.12109375,27.365264892578125,9.255016326904297,18.82501220703125,True,True,False,True,92.48635864257812,0.0,92.48635864257812,0.0,6.0,True,False,True,True,False,0.0,True,10.499954223632812,107.25,96.75004577636719,False,True,107.25,96.75004577636719,True,False,1,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
141,False,0.75,0.75,True,True,True,True,True,0,65.12109375,70.49972534179688,0.8699951171875,10.125,True,True,True,False,135.62081909179688,0.0,135.62081909179688,0.0,12,False,False,False,0.75,0.75,True,True,True,True,True,0.0,42.12890625,156.74981689453125,128.2349853515625,0.8699951171875,False,True,True,True,114.62091064453125,0.0,114.62091064453125,0.0,10.0,False,False,False,1.5,1.5,True,True,False,True,True,0.0,0.0,47.139495849609375,10.125,0.47998046875,True,True,False,True,47.139495849609375,0.0,47.139495849609375,0.0,6.0,False,True,False,False,False,0.5,True,135.62081909179688,65.12109375,70.49972534179688,True,True,65.12109375,70.49972534179688,True,False,12,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
